move_count,click_count,left_click_count,right_click_count,scroll_count,event_rate,path_length,displacement,straightness,speed_mean,speed_std,speed_max,acceleration_mean,acceleration_std,acceleration_max,direction_change_mean,direction_change_std,click_interval_mean,click_interval_std,click_hold_mean,click_hold_std,double_click_count,scroll_abs_total,scroll_abs_mean,scroll_interval_mean,scroll_interval_std
41,1,1,0,0,5.835720874723264,53.264553118603416,32.64965543462902,0.6129715452963344,142.5792243820671,93.5699298754159,378.63842079922966,8746.453478982728,8740.763860973093,30533.218887300944,23.740453177576168,26.948880019976063,0.0,0.0,0.0479352474212646,0.0,0.0,0.0,0.0,0.0,0.0
169,0,0,0,7,24.497303445725628,994.5936703579728,829.183936168568,0.833691145319806,737.8684191190614,608.9151260231665,3089.3612764633085,20671.24885517093,26545.018469291743,204135.97776029768,11.46250972724478,17.826504838465564,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.2944405078887939,0.5694339401840823
168,0,0,0,14,19.7473717453428,990.007883920346,821.6008763383836,0.8298932661878559,739.4754313315112,610.560374655337,3089.3612764633085,20535.30873857747,26675.26375169085,204135.97776029768,10.825721937255755,15.836368510601956,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.4196270062373234,0.7427643081691445
153,0,0,0,11,16.400141154550475,1699.8630937700736,638.2891194435324,0.3754944276293985,1396.2020829834964,1700.5658810301325,6852.953721567108,26203.677425616144,30170.47614616709,204135.97776029768,9.317998818836562,14.973903632782529,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.3824220895767212,0.7443363772037943
162,2,2,0,11,17.72855383696323,2091.639626999536,692.1885581256021,0.3309310787530588,1646.091495474368,1752.5876515008747,6852.953721567108,56670.35124254406,329012.78095056367,4163791.639645449,9.432415033848743,15.697731050792123,0.9676144123077391,0.0,0.0521712303161621,0.0200352668762207,0.0,11.0,1.0,0.3824220895767212,0.7443363772037943
47,0,0,0,0,113.19293506970762,140.3049703070922,135.51752654177244,0.965878302423348,377.4918325471865,200.1522279416522,802.074113055834,13921.534965640074,11107.036487778254,55734.48033350132,15.083703205533569,18.65678729610722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,1,0,0,44.84808782586908,681.2692143639748,532.6922188280959,0.7819114787469316,837.575787079506,822.0261944003491,3476.3693928649936,18855.296957059127,16232.836541218663,69887.70405627116,11.580967641209323,17.568507653252663,0.0,0.0,0.0544238090515136,0.0,0.0,0.0,0.0,0.0,0.0
75,0,0,0,5,81.3067651620723,433.9807332969012,367.6003264416396,0.8470429635182711,733.0880372211766,735.2862716105184,2545.521818899666,16591.3531039761,15608.447451520413,65168.782720660056,12.654138711366256,16.681327690404917,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.1243179440498352,0.1312731894128837
258,1,1,0,6,56.93881721922191,2125.293375468452,260.3113520382851,0.1224825499589711,1028.8845548466206,1351.0826488987632,6008.685817223411,21441.36578504802,26900.944610929982,194205.71103631204,14.42000730814341,23.1497940304527,0.0,0.0,0.0782792568206787,0.0,0.0,6.0,1.0,0.374651288986206,0.5142501867331044
91,0,0,0,3,49.177653552403726,142.55095980781573,6.4031242374328485,0.0449181418775812,181.8906461433637,132.81933862388686,506.13056594666347,9135.030205183544,8714.034296714955,34551.2026831796,17.267130407113964,28.53370062541684,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0443462133407592,0.0129376649856567
